Age,Attrition,Department,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,WorkLifeBalance,YearsAtCompany
41,Yes,Sales,Life Sciences,1,2,Female,2,Sales Executive,4,Single,5993,Yes,1,6
49,No,Research & Development,Life Sciences,2,3,Male,2,Research Scientist,2,Married,5130,No,3,10
37,Yes,Research & Development,Other,4,4,Male,1,Laboratory Technician,3,Single,2090,Yes,3,0
33,No,Research & Development,Life Sciences,5,4,Female,1,Research Scientist,3,Married,2909,Yes,3,8
27,No,Research & Development,Medical,7,1,Male,1,Laboratory Technician,2,Married,3468,No,3,2
32,No,Research & Development,Life Sciences,8,4,Male,1,Laboratory Technician,4,Single,3068,No,2,7
59,No,Research & Development,Medical,10,3,Female,1,Laboratory Technician,1,Married,2670,Yes,2,1
30,No,Research & Development,Life Sciences,11,4,Male,1,Laboratory Technician,3,Divorced,2693,No,3,1
38,No,Research & Development,Life Sciences,12,4,Male,3,Manufacturing Director,3,Single,9526,No,3,9
36,No,Research & Development,Medical,13,3,Male,2,Healthcare Representative,3,Married,5237,No,2,7
35,No,Research & Development,Medical,14,1,Male,1,Laboratory Technician,2,Married,2426,No,3,5
29,No,Research & Development,Life Sciences,15,4,Female,2,Laboratory Technician,3,Single,4193,Yes,3,9
31,No,Research & Development,Life Sciences,16,1,Male,1,Research Scientist,3,Divorced,2911,No,2,5
34,No,Research & Development,Medical,18,2,Male,1,Laboratory Technician,4,Divorced,2661,No,3,2
28,Yes,Research & Development,Life Sciences,19,3,Male,1,Laboratory Technician,3,Single,2028,Yes,3,4
29,No,Research & Development,Life Sciences,20,2,Female,3,Manufacturing Director,1,Divorced,9980,No,3,10
32,No,Research & Development,Life Sciences,21,1,Male,1,Research Scientist,2,Divorced,3298,Yes,2,6
22,No,Research & Development,Medical,22,4,Male,1,Laboratory Technician,4,Divorced,2935,Yes,2,1
53,No,Sales,Life Sciences,23,1,Female,4,Manager,4,Married,15427,No,3,25
38,No,Research & Development,Life Sciences,24,4,Male,1,Research Scientist,4,Single,3944,Yes,3,3
24,No,Research & Development,Other,26,1,Female,2,Manufacturing Director,3,Divorced,4011,No,2,4
36,Yes,Sales,Life Sciences,27,3,Male,1,Sales Representative,1,Single,3407,No,3,5
34,No,Research & Development,Life Sciences,28,1,Female,3,Research Director,2,Single,11994,No,3,12
21,No,Research & Development,Life Sciences,30,3,Male,1,Research Scientist,4,Single,1232,No,3,0
34,Yes,Research & Development,Medical,31,2,Male,1,Research Scientist,1,Single,2960,No,3,4
53,No,Research & Development,Other,32,3,Female,5,Manager,3,Divorced,19094,No,2,14
32,Yes,Research & Development,Life Sciences,33,2,Female,1,Research Scientist,1,Single,3919,Yes,3,10
42,No,Sales,Marketing,35,3,Male,2,Sales Executive,2,Married,6825,No,3,9
44,No,Research & Development,Medical,36,1,Female,3,Healthcare Representative,4,Married,10248,No,3,22
46,No,Sales,Marketing,38,2,Female,5,Manager,1,Single,18947,No,2,2
33,No,Research & Development,Medical,39,3,Male,1,Laboratory Technician,4,Single,2496,No,3,1
44,No,Research & Development,Other,40,4,Male,2,Healthcare Representative,4,Married,6465,Yes,4,4
30,No,Research & Development,Medical,41,4,Male,1,Laboratory Technician,3,Single,2206,No,3,10
39,Yes,Sales,Technical Degree,42,4,Male,2,Sales Representative,4,Married,2086,No,4,1
24,Yes,Research & Development,Medical,45,2,Male,1,Research Scientist,4,Married,2293,Yes,2,2
43,No,Research & Development,Medical,46,4,Female,1,Research Scientist,3,Divorced,2645,No,2,5
50,Yes,Sales,Marketing,47,1,Male,1,Sales Representative,3,Married,2683,Yes,3,3
35,No,Sales,Marketing,49,4,Female,1,Sales Representative,4,Married,2014,No,3,2
36,No,Research & Development,Life Sciences,51,2,Female,1,Research Scientist,1,Married,3419,Yes,4,1
33,No,Sales,Life Sciences,52,3,Female,2,Sales Executive,1,Married,5376,No,3,5
35,No,Research & Development,Other,53,3,Male,1,Laboratory Technician,4,Divorced,1951,No,3,1
27,No,Research & Development,Life Sciences,54,4,Female,1,Laboratory Technician,1,Divorced,2341,No,3,1
26,Yes,Research & Development,Life Sciences,55,1,Male,1,Laboratory Technician,3,Single,2293,No,2,1
27,No,Sales,Life Sciences,56,4,Male,3,Sales Executive,3,Single,8726,No,3,9
30,No,Research & Development,Medical,57,3,Female,2,Laboratory Technician,4,Single,4011,No,3,12
41,Yes,Research & Development,Technical Degree,58,2,Female,5,Research Director,3,Married,19545,No,3,22
34,No,Sales,Marketing,60,2,Male,2,Sales Executive,3,Single,4568,No,3,9
37,No,Research & Development,Life Sciences,61,2,Male,1,Research Scientist,2,Married,3022,No,3,1
46,No,Sales,Marketing,62,1,Male,2,Sales Executive,4,Single,5772,Yes,3,9
35,No,Research & Development,Life Sciences,63,4,Male,1,Laboratory Technician,4,Married,2269,No,3,1
48,Yes,Research & Development,Life Sciences,64,1,Male,3,Laboratory Technician,3,Single,5381,Yes,3,1
28,Yes,Research & Development,Technical Degree,65,3,Male,1,Laboratory Technician,3,Single,3441,Yes,2,2
44,No,Sales,Marketing,68,2,Female,2,Sales Executive,1,Divorced,5454,Yes,2,4
35,No,Research & Development,Medical,70,3,Male,3,Healthcare Representative,1,Married,9884,Yes,3,4
26,No,Sales,Marketing,72,3,Female,2,Sales Executive,4,Married,4157,Yes,2,2
33,No,Research & Development,Life Sciences,73,1,Female,3,Research Director,4,Single,13458,Yes,3,15
35,No,Sales,Life Sciences,74,2,Male,3,Sales Executive,1,Married,9069,No,2,9
35,No,Research & Development,Medical,75,3,Female,1,Laboratory Technician,1,Married,4014,Yes,3,2
31,No,Research & Development,Life Sciences,76,4,Male,2,Laboratory Technician,4,Divorced,5915,No,2,7
37,No,Research & Development,Life Sciences,77,1,Male,2,Manufacturing Director,3,Divorced,5993,No,4,7
32,No,Research & Development,Medical,78,1,Male,2,Manufacturing Director,4,Married,6162,Yes,3,9
